x,p,d,q,P,D,Q,p_norm,p_estac,p_ind,AIC.model
785,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
786,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
750,0,0,5,1,0,5,0.574059490462762,0.315918927762767,0.543785489528279,72.4507411583914
796,0,0,5,3,0,3,0.579302569174604,0.30943316336515,0.551000698140008,72.3718869022339
756,0,0,5,1,1,5,0.588856040104474,0.536650061946565,0.634681254994083,82.3698077755444
657,0,0,4,3,1,2,0.592508401296989,0.679466865298509,0.991405065515991,87.6157497026514
823,0,0,5,4,1,0,0.603355120953639,0.553290705709568,0.660343642981907,78.339453759657
779,0,0,5,2,1,4,0.606944673249929,0.552730629365512,0.659731410430065,82.3110797783352
612,0,0,4,1,1,5,0.617118340270648,0.694006433790754,0.961611635435252,89.5931188830717
580,0,0,4,0,0,3,0.626956500889985,0.556480782447597,0.787537745796457,72.236581683212
581,0,0,4,0,0,4,0.628854329595369,0.559025162388776,0.843691819451812,74.0183593646318
588,0,0,4,0,1,5,0.635037459871001,0.685235625779905,0.983830535469837,88.199599872777
650,0,0,4,3,0,1,0.661828326287035,0.555674595638262,0.843451656603702,74.050728057852
649,0,0,4,3,0,0,0.66343612379777,0.552568251213783,0.778226197524053,72.2764254638147
486,0,0,3,2,0,5,0.681272142007501,0.55679814550437,0.495360621517986,78.30341233076
555,0,0,3,5,0,2,0.684218997894485,0.543961161398474,0.432158548346372,77.8538937913854
534,0,0,3,4,0,5,0.690826623696887,0.546773881579326,0.44866406830718,81.9344912662131
482,0,0,3,2,0,1,0.699789488722418,0.552925268743977,0.482243187832215,70.8773502979824
611,0,0,4,1,1,4,0.701204447129068,0.70045554305585,0.941809655082076,88.1112732936425
553,0,0,3,5,0,0,0.702749805912571,0.559823426090404,0.509808429235629,74.3723657979943
533,0,0,3,4,0,4,0.703985415563402,0.531208811972823,0.567678212558256,80.3101524337953
556,0,0,3,5,0,3,0.71024981874466,0.534601299069114,0.424846230041656,79.8082767591283
459,0,0,3,1,0,2,0.710998856259842,0.554329888939656,0.455202799268032,70.9977973439701
510,0,0,3,3,0,5,0.711018285135883,0.552782645195312,0.450001012692485,79.9777818374132
554,0,0,3,5,0,1,0.712503924771963,0.556997159579086,0.446709761860526,76.0333592438782
532,0,0,3,4,0,3,0.713541917184994,0.530242308852538,0.566977728866264,78.334934576704
557,0,0,3,5,0,4,0.718856665584986,0.532699890687726,0.425318999632448,81.8069782667881
508,0,0,3,3,0,3,0.720855862147676,0.531397805702481,0.575083981589539,76.3252151847102
484,0,0,3,2,0,3,0.721026451368246,0.531102872696715,0.571616570038107,74.3568094242006
506,0,0,3,3,0,1,0.72180788271285,0.546678149506602,0.531819723769574,72.5530884783983
507,0,0,3,3,0,2,0.724992284686355,0.533639002420273,0.567776144080696,74.341204401247
460,0,0,3,1,0,3,0.728984172894704,0.552442807487735,0.519120702014958,72.6133696345079
509,0,0,3,3,0,4,0.735175988099513,0.530936811329191,0.58464178931648,78.3055271359563
485,0,0,3,2,0,4,0.740121550798314,0.533070069144201,0.590368283204345,76.3182581751582
461,0,0,3,1,0,4,0.741412186433343,0.549636251493623,0.549959809285718,74.5564455868893
530,0,0,3,4,0,1,0.742916362908471,0.542210046377735,0.567251362451665,74.4879019690947
437,0,0,3,0,0,4,0.744448790656613,0.54419302215181,0.562101950612073,72.5735432768028
462,0,0,3,1,0,5,0.746937344755925,0.542172070606612,0.566143659187719,76.5731118725394
531,0,0,3,4,0,2,0.747249480574277,0.527573601592676,0.597525613997173,76.2971989056091
